,name,group,source_nmi,infom/iid,infom/independent,cinfom/iid,cinfom/independent,seed
0,independent,diagonal_strengthen,0.0,0.7793524088998248,0.7793524088998248,0.4568013117526765,0.4568013117526765,410
1,independent,diagonal_remove,0.0,0.7793524088998248,0.7793524088998248,0.4568013117526765,0.4568013117526765,410
2,independent,corner,0.0,0.7793524088998248,0.7793524088998248,0.4568013117526765,0.4568013117526765,410
3,corner:6,corner,0.004,0.8294758387322112,0.8311152681251386,0.4891466073436304,0.4892687414926269,410
4,corner:8,corner,0.013,0.795132783281475,0.8013389224369087,0.4545726392152061,0.45128908353149283,410
5,corner:10,corner,0.026,0.8135765323596788,0.8222485782340903,0.4724494161404001,0.46938005954983475,410
6,corner:12,corner,0.043,0.7299149916001221,0.7642146077689567,0.3731251689716682,0.37296269813128463,410
7,diagonal_remove:0,diagonal_remove,0.007,0.823053446442883,0.8347357538519707,0.466308953916016,0.4626062244266431,410
8,diagonal_remove:1,diagonal_remove,0.015,0.7756530481340693,0.7765365799445112,0.45134792037646065,0.4423936109897786,410
9,diagonal_remove:2,diagonal_remove,0.026,0.7893866282415327,0.819788508330204,0.46920672267797897,0.4667345836968002,410
10,diagonal_remove:3,diagonal_remove,0.039,0.7836825733485928,0.8196669011951284,0.4414259572079232,0.4399083087446189,410
11,diagonal_strengthen:500,diagonal_strengthen,0.005,0.75875370003612,0.7630841194721438,0.43994895924436817,0.4401664005543173,410
12,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.8096639645084857,0.8219156760658676,0.4877463607700965,0.4879710743136179,410
13,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.8055579645000993,0.8301749204308134,0.4664760085934124,0.467223601585718,410
14,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.7513473535875181,0.815482434799875,0.47340049848015964,0.4741732487196635,410
15,independent,diagonal_strengthen,0.0,0.7846807803651635,0.7846807803651635,0.45853817564848987,0.45853817564848987,411
16,independent,diagonal_remove,0.0,0.7846807803651635,0.7846807803651635,0.45853817564848987,0.45853817564848987,411
17,independent,corner,0.0,0.7846807803651635,0.7846807803651635,0.45853817564848987,0.45853817564848987,411
18,corner:6,corner,0.004,0.8070452173869268,0.8079828829016813,0.45580644483495414,0.45676772604721216,411
19,corner:8,corner,0.013,0.7540918548884072,0.7663795488450178,0.42444871274026297,0.4271547759197637,411
20,corner:10,corner,0.026,0.7495288101377542,0.7611785048634547,0.4370459036616703,0.4255278355822401,411
21,corner:12,corner,0.043,0.7473332492473583,0.7776056160685819,0.3667899614397689,0.3474223103748822,411
22,diagonal_remove:0,diagonal_remove,0.007,0.764397537009422,0.7694807844098321,0.40009299278383803,0.39445249884181965,411
23,diagonal_remove:1,diagonal_remove,0.015,0.7571286028216009,0.7744592697872971,0.3441382853460835,0.3450785398137695,411
24,diagonal_remove:2,diagonal_remove,0.026,0.7615585595533574,0.8021896115748844,0.4161470634034308,0.4191827002852673,411
25,diagonal_remove:3,diagonal_remove,0.039,0.7672667254693436,0.8096215610850086,0.45664728102221663,0.4546996776033241,411
26,diagonal_strengthen:500,diagonal_strengthen,0.005,0.778004475982396,0.7840506868069174,0.4417014057714643,0.44258927640248763,411
27,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.7894259890452316,0.8017482954624471,0.4449578421549785,0.4445433271228645,411
28,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.7317690071287408,0.7580378131154255,0.4373336724684682,0.43605458669546904,411
29,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.7735012560695008,0.826759988961604,0.44925808190655636,0.448678237238574,411
30,independent,diagonal_strengthen,0.0,0.7711253352340531,0.7711253352340531,0.3952742928475728,0.3952742928475728,412
31,independent,diagonal_remove,0.0,0.7711253352340531,0.7711253352340531,0.3952742928475728,0.3952742928475728,412
32,independent,corner,0.0,0.7711253352340531,0.7711253352340531,0.3952742928475728,0.3952742928475728,412
33,corner:6,corner,0.004,0.8180124686912866,0.8192475924861281,0.488585561546959,0.48967424072971494,412
34,corner:8,corner,0.013,0.8021040676896002,0.8073685185633249,0.4750414330734715,0.4736971265888297,412
35,corner:10,corner,0.026,0.7480635020318612,0.7723655275922761,0.4014065199718583,0.3929533518880709,412
36,corner:12,corner,0.043,0.6927366416461745,0.7063428947206406,0.34994754356309504,0.32742010573902675,412
37,diagonal_remove:0,diagonal_remove,0.007,0.7562766372247618,0.7713871970841177,0.40803394599835874,0.4030637015143081,412
38,diagonal_remove:1,diagonal_remove,0.015,0.7055009444538346,0.7261138905017571,0.38939709784831117,0.38323899417516616,412
39,diagonal_remove:2,diagonal_remove,0.026,0.7813857930358704,0.7968481748697602,0.47956090617438984,0.4715205498307571,412
40,diagonal_remove:3,diagonal_remove,0.039,0.7243303017483212,0.7482022220268344,0.38238322195768915,0.37724405939340744,412
